"","CALLCODE","total"
"1","J14.00",11691
"2","D11.00",9603
"3","F16.00",6528
"4","C31.00",5291
"5","J26.00",4825
"6","T10.00",4608
"7","E11.00",3916
"8","H13.00",3159
"9","B23.00",3045
"10","E13.00",3036
"11","E21.00",2726
"12","D23.00",2721
"13","J32.00",2622
"14","J17.00",2606
"15","J24.00",2336
"16","D24.00",2265
"17","C29.00",2240
"18","J18.00",2116
"19","G13.00",2073
"20","J29.00",1894
"21","J11.00",1732
"22","B21.00",1638
"23","E12.00",1615
"24","H25.00",1557
"25","C24.00",1532
"26","E14.00",1450
"27","C14.00",1433
"28","D15.00",1358
"29","J13.00",1290
"30","A12.00",1235
"31","D29.00",1211
"32","H35.00",1063
"33","Z33.00",956
"34","J19.00",902
"35","A12.20",900
"36","H32.00",859
"37","B11.00",849
"38","C18.00",844
"39","B22.00",815
"40","D25.00",794
"41","B18.00",745
"42","H28.00",694
"43","C22.00",681
"44","C16.00",653
"45","H31.00",613
"46","D21.00",581
"47","B17.00",574
"48","D31.00",570
"49","H24.00",568
"50","F13.00",559
"51","H14.00",554
"52","A32.00",551
"53","F23.00",536
"54","C25.00",511
"55","D13.00",496
"56","D34.00",459
"57","F18.00",434
"58","D11.20",419
"59","B23.20",415
"60","B14.00",356
"61","B23.30",349
"62","A26.00",333
"63","E15.00",324
"64","C12.00",319
"65","C27.00",309
"66","D16.00",290
"67","A17.00",282
"68","D18.00",279
"69","H13.21",278
"70","A11.00",275
"71","E16.00",274
"72","A12.30",270
"73","B12.00",254
"74","A22.00",251
"75","G19.00",248
"76","H13.20",237
"77","G18.00",231
"78","C19.00",224
"79","A11.20",223
"80","E17.00",216
"81","H35.20",211
"82","H17.00",204
"83","H22.00",196
"84","C18.20",188
"85","F21.00",183
"86","B15.00",180
"87","F19.00",169
"88","H28.20",168
"89","J12.00",168
"90","F16.20",166
"91","B19.00",165
"92","D11.01",164
"93","J22.00",157
"94","J16.00",151
"95","C13.00",149
"96","J23.00",146
"97","J28.00",146
"98","J25.00",143
"99","C32.00",141
"100","C36.00",138
"101","D17.00",128
"102","C15.00",123
"103","H19.00",122
"104","B21.30",120
"105","H13.01",116
"106","B21.20",112
"107","C16.20",110
"108","G14.00",110
"109","H23.00",109
"110","C24.20",104
"111","E11.20",102
"112","C23.00",101
"113","H21.00",91
"114","A22.20",88
"115","G22.00",85
"116","A22.30",83
"117","D11.21",82
"118","J21.00",81
"119","A11.21",79
"120","E21.20",75
"121","D12.00",74
"122","A12.22",73
"123","E18.00",73
"124","G11.00",72
"125","T10.20",72
"126","A12.21",69
"127","J31.00",69
"128","B14.20",68
"129","A11.30",60
"130","E15.20",59
"131","H29.00",59
"132","A11.22",56
"133","C24.30",56
"134","D19.00",56
"135","F12.00",55
"136","E16.20",53
"137","H34.00",53
"138","D26.00",51
"139","E14.20",51
"140","H28.30",51
"141","H35.30",51
"142","G23.00",49
"143","J29.20",49
"144","A12.32",47
"145","A16.00",46
"146","B11.20",44
"147","B18.30",44
"148","C21.00",42
"149","A12.33",41
"150","D11.22",41
"151","G13.20",41
"152","B17.20",39
"153","D11.02",38
"154","C16.30",37
"155","B17.30",36
"156","B19.20",35
"157","D29.20",35
"158","C35.00",34
"159","G11.20",33
"160","D22.00",32
"161","B16.00",31
"162","B19.30",31
"163","C27.20",31
"164","D13.21",31
"165","A31.00",30
"166","H33.00",30
"167","D28.00",29
"168","C11.00",28
"169","C14.20",28
"170","C18.30",28
"171","C33.00",28
"172","C22.20",27
"173","H13.22",27
"174","J27.00",27
"175","B18.20",26
"176","C28.00",26
"177","A12.01",25
"178","F22.00",25
"179","G13.30",25
"180","C19.20",24
"181","C31.30",24
"182","A11.01",23
"183","A19.20",23
"184","C14.30",23
"185","A11.31",22
"186","Z66.00",22
"187","C31.20",21
"188","D13.22",21
"189","H14.20",21
"190","A19.00",20
"191","H11.00",20
"192","D14.00",19
"193","D23.20",19
"194","H12.00",19
"195","B22.20",17
"196","D24.20",17
"197","E21.30",17
"198","G12.00",17
"199","C34.00",16
"200","B14.30",15
"201","D15.30",14
"202","E19.00",14
"203","H13.02",14
"204","A11.32",13
"205","A12.31",13
"206","C27.30",12
"207","E11.30",12
"208","A12.40",11
"209","A12.50",11
"210","C12.20",11
"211","C25.30",11
"212","D15.20",11
"213","D31.20",11
"214","G18.20",11
"215","H22.20",11
"216","H31.20",11
"217","H31.21",11
"218","A16.20",10
"219","A19.30",10
"220","C17.00",10
"221","F17.00",10
"222","F18.20",10
"223","F19.20",10
"224","G19.20",10
"225","G21.00",10
"226","Z44.00",10
"227","D11.03",9
"228","F12.30",9
"229","C12.30",8
"230","C18.40",8
"231","C22.30",8
"232","C24.40",8
"233","C29.30",8
"234","H31.01",8
"235","H31.22",8
"236","H32.20",8
"237","B11.22",7
"238","C23.20",7
"239","C25.20",7
"240","E16.30",7
"241","F13.20",7
"242","A17.20",6
"243","A18.00",6
"244","A22.22",6
"245","A22.50",6
"246","C13.20",6
"247","D16.20",6
"248","F12.20",6
"249","F16.30",6
"250","Z58.00",6
"251","A11.33",5
"252","A12.23",5
"253","A22.01",5
"254","A22.32",5
"255","B15.30",5
"256","C14.40",5
"257","C19.30",5
"258","C26.00",5
"259","C29.20",5
"260","D13.20",5
"261","D15.40",5
"262","E17.02",5
"263","H17.20",5
"264","A11.51",4
"265","A18.30",4
"266","A22.31",4
"267","A32.20",4
"268","B22.30",4
"269","B23.40",4
"270","C15.30",4
"271","C17.20",4
"272","D13.02",4
"273","D29.30",4
"274","F11.00",4
"275","F16.01",4
"276","F16.22",4
"277","F16.40",4
"278","G11.30",4
"279","G19.22",4
"280","H34.21",4
"281","H35.22",4
"282","Z00.00",4
"283","A16.30",3
"284","A18.20",3
"285","A19.40",3
"286","A22.21",3
"287","B11.30",3
"288","B12.20",3
"289","B15.20",3
"290","C15.20",3
"291","C22.40",3
"292","D24.30",3
"293","D25.20",3
"294","D26.20",3
"295","D31.30",3
"296","E14.01",3
"297","F15.00",3
"298","G18.22",3
"299","H24.20",3
"300","H28.33",3
"301","H35.21",3
"302","A11.23",2
"303","A11.40",2
"304","A11.50",2
"305","A12.02",2
"306","A12.51",2
"307","A22.60",2
"308","A25.00",2
"309","A26.30",2
"310","A26.50",2
"311","B11.40",2
"312","B16.20",2
"313","B23.03",2
"314","B23.22",2
"315","B23.32",2
"316","C11.20",2
"317","C11.30",2
"318","C12.40",2
"319","C13.30",2
"320","C18.22",2
"321","C21.20",2
"322","C24.01",2
"323","C25.40",2
"324","C36.20",2
"325","D13.32",2
"326","D13.60",2
"327","D14.21",2
"328","D23.30",2
"329","E12.30",2
"330","E14.03",2
"331","F16.02",2
"332","F16.21",2
"333","F18.22",2
"334","F23.20",2
"335","F23.30",2
"336","G19.40",2
"337","G22.20",2
"338","H14.01",2
"339","H22.22",2
"340","H23.30",2
"341","H33.30",2
"342","H34.01",2
"343","H34.02",2
"344","J14.20",2
"345","J26.20",2
"346","Z33.30",2
"347","A12.42",1
"348","A12.60",1
"349","A12.61",1
"350","A18.21",1
"351","A19.01",1
"352","A19.22",1
"353","A21.00",1
"354","A21.20",1
"355","A21.30",1
"356","A22.40",1
"357","A24.00",1
"358","A26.20",1
"359","A31.02",1
"360","A31.20",1
"361","B11.50",1
"362","B14.02",1
"363","B14.50",1
"364","B15.02",1
"365","B15.40",1
"366","B17.03",1
"367","B17.40",1
"368","B21.22",1
"369","B23.01",1
"370","C18.50",1
"371","C21.30",1
"372","C23.30",1
"373","C24.50",1
"374","C25.21",1
"375","C25.50",1
"376","C27.21",1
"377","C27.22",1
"378","C27.40",1
"379","C29.02",1
"380","C29.40",1
"381","C33.20",1
"382","C34.20",1
"383","D11.30",1
"384","D12.30",1
"385","D13.01",1
"386","D13.31",1
"387","D14.02",1
"388","D15.01",1
"389","D15.21",1
"390","D15.60",1
"391","D16.30",1
"392","D17.22",1
"393","D18.50",1
"394","D19.20",1
"395","D25.30",1
"396","D25.40",1
"397","D26.30",1
"398","D27.00",1
"399","D34.30",1
"400","E11.22",1
"401","E12.20",1
"402","E13.20",1
"403","E13.30",1
"404","E14.22",1
"405","E14.30",1
"406","E16.22",1
"407","E16.23",1
"408","E18.20",1
"409","E19.20",1
"410","E19.30",1
"411","E21.40",1
"412","F13.01",1
"413","F14.00",1
"414","F16.03",1
"415","F16.50",1
"416","F16.60",1
"417","F18.01",1
"418","F18.30",1
"419","F18.32",1
"420","F19.22",1
"421","F19.23",1
"422","F21.20",1
"423","F21.21",1
"424","F21.22",1
"425","F22.30",1
"426","G11.40",1
"427","G12.20",1
"428","G13.50",1
"429","G19.23",1
"430","G19.30",1
"431","G19.60",1
"432","G22.30",1
"433","H11.20",1
"434","H12.20",1
"435","H13.23",1
"436","H13.32",1
"437","H13.61",1
"438","H14.22",1
"439","H16.00",1
"440","H21.20",1
"441","H21.30",1
"442","H22.01",1
"443","H22.21",1
"444","H22.30",1
"445","H24.40",1
"446","H25.01",1
"447","H25.20",1
"448","H25.50",1
"449","H26.00",1
"450","H28.03",1
"451","H32.01",1
"452","H32.30",1
"453","H33.20",1
"454","H34.20",1
"455","H34.22",1
"456","H35.03",1
"457","H35.40",1
"458","J12.20",1
"459","J14.50",1
"460","J22.20",1
"461","J24.20",1
"462","J26.30",1
"463","J27.20",1
"464","J28.20",1
"465","J28.30",1
"466","J32.20",1
"467","T10.01",1
"468","Z33.20",1
"469","Z56.00",1
"470","Z67.00",1
"471","Z88.00",1
