"","Call Code Description","total"
"1","MEAL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",11691
"2","MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",9603
"3","SUSPICIOUS PERSON/CONDITION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",6528
"4","BURG ALARM COMMERCIAL PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",5291
"5","OTHER ADMIN POLICE ACTIVITY; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",4825
"6","TRAFFIC STOP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",4608
"7","DISORDERLY CONDUCT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",3916
"8","AMBULANCE REQUEST FOR; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",3159
"9","OTHER INTER/CONFLICT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",3045
"10","LOUD MUSIC; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",3036
"11","OTHER PUBLIC NUISANCE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",2726
"12","DRIVEWAY PARKING VIOLATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",2721
"13","DISTRICT MISSION / ASSIGNMENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",2606
"14","PSN - PROJECT SAFE NEIGHBORHOODS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",2381
"15","DIRECTED PATROL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",2336
"16","OTHER PARKING VIOLATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",2265
"17","BURG ALARM RESIDENTIAL PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",2240
"18","MAIL PICK UP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",2116
"19","USE/SALE OF DRUGS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",2073
"20","VEHICLE SERVICE SHOP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",1732
"21","MERCHANT/CUSTOMER DISPUTE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",1638
"22","NOISE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",1615
"23","TRANSPORTATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",1557
"24","THEFT OTHER PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",1532
"25","STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",1450
"26","DAMAGE MOTOR VEHICLE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",1433
"27","LEAVING THE SCENE OF A ACCIDENT ( PROPERTY DAMAGE ONLY ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",1358
"28","PERSONAL OFF ON; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",1290
