datetime,location,shooting_type,latitude,longitude,,
1/1/15 3:16,"310 Virginia Avenue  Jersey City, NJ",Non-fatal,40.717891,-74.086984,,
1/1/15 22:33,"72 Woodlawn Ave  Jersey City, NJ",Non-fatal,40.701286,-74.08331,,
3/19/15 15:50,"Stegman & Ocean Ave  Jersey City, NJ",Non-fatal,40.702858,-74.081185,,
3/6/15 23:12,"293 Martin Luther King Dr  Jersey City, NJ",Non-fatal,40.709115,-74.081436,,
3/25/15 21:02,"150 Pacific Ave  Jersey City, NJ",Fatal,40.707717,-74.067398,,
4/3/15 2:21,"72 Woodlawn Avenue  Jersey City, NJ",Non-fatal,40.701286,-74.08331,,
4/4/15 2:08,"Dwight & MLK Drive  Jersey City, NJ",Non-fatal,40.705043,-74.085989,,
4/5/15 3:13,"Warner & MLK Drive  Jersey City, NJ",Non-fatal,40.701224,-74.090303,,
4/6/15 23:40,"Manning & Layfayete in Park  Jersey City, NJ",Non-fatal,40.728157,-74.077642,,
4/9/15 2:38,"109 Claremont Ave  Jersey City, NJ",Non-fatal,40.708373,-74.078536,,
4/11/15 23:02,"290 Bergen Ave  Jersey City, NJ",Fatal,40.711897,-74.082149,,
4/24/15 0:14,"184 Cater Ave  Jersey City, NJ",Non-fatal,40.698775,-74.091809,,
5/10/15 23:07,"89 Bostwick  Jersey City, NJ",Non-fatal,40.707814,-74.081807,,
5/24/15 1:51,"Halladay & Communipaw  Jersey City, NJ",Non-fatal,40.711991,-74.063306,,
5/26/15 19:29,"Ocean & Myrtle Ave  Jersey City, NJ",Non-fatal,40.706574,-74.078083,,
6/2/15 16:00,"Winfield Ave. & Ocean Ave  Jersey City, NJ",Non-fatal,40.692948,-74.093915,,
6/13/15 17:25,"Bergen and Lexington  Jersey City, NJ",Non-fatal,40.717077,-74.077453,,
7/31/15 23:47,"Wade & MLK  Jersey City, NJ",Non-fatal,40.701769,-74.089695,,
8/4/15 0:20,"739 Bergen Ave  Jersey City, NJ",Fatal,40.725026,-74.06898,,
8/6/15 8:06,"189 Bartholdi Ave  Jersey City, NJ",Non-fatal,40.698415,-74.098467,,
8/20/15 2:36,"Bentley & Bergen Avenues  Jersey City, NJ",Non-fatal,40.719562,-74.074105,,
8/28/15 0:55,"Sackett and Bramhall  Jersey City, NJ",Non-fatal,40.716257,-74.076691,,
9/2/15 1:00,"388 Arlington Ave  Jersey City, NJ",Non-fatal,40.714265,-74.069958,,
9/9/15 21:27,"204 Duncan Ave  Jersey City, NJ",Non-fatal,40.727587,-74.078104,,
9/19/15 23:30,"76 Van Waganen  Jersey City, NJ",Non-fatal,40.732712,-74.07022,,
9/21/15 23:23,"60 Jewett Ave  Jersey City, NJ",Non-fatal,40.721348,-74.069283,,
1/27/15 3:02,"Dwight St & Ocean Ave  Jersey City, NJ",Non-fatal,40.702305,-74.081748,,
10/8/15 22:45,"498 Ocean Ave  Jersey City, NJ",Non-fatal,40.703387,-74.080294,,
10/1/15 21:42,"Randolph & Myrtle Avenues  Jersey City, NJ",Non-fatal,40.705191,-74.075532,,
10/10/15 22:20,"278 Johnston Ave.  Jersey City, NJ",Non-fatal,40.711749,-74.055752,,
10/17/15 23:24,"23 Dales Ave  Jersey City, NJ",Fatal,40.734845,-74.076762,,
10/22/15 22:59,"90 Armstrong Ave Muhammed ali park  Jersey City, NJ",Non-fatal,40.728157,-74.077642,,
10/23/15 23:16,"Communipaw & Van Horne  Jersey City, NJ",Non-fatal,40.712527,-74.06394,,
10/24/15 18:17,"294 Forrest St  Jersey City, NJ",Non-fatal,40.712966,-74.076545,,
